#%create_date=Thu Feb 16 00:26:49 2006 PST 1
#%lib-set-name=HuEx-1_0-st 1
#%lib-set-version=v2 1
#%genome-species=Homo sapiens 1
#%genome-version=hg17 1
#%genome-version-ucsc=hg17 1
#%genome-version-ncbi=35 1
#%genome-version-create_date=2004-05 1
#%genome-lifted_from-version-ucsc=hg16 1
#%genome-lifted_from-version-ncbi=34 1
#%genome-lifted_from-species=Homo sapiens 1
#%genome-lifted-method=liftOver 1
#%netaffx-annotation-date=2005-12-14 1
#%netaffx-annotation-csv-version=1.5 1
#%netaffx-annotation-data-type=transcript_cluster 1
#%netaffx-annotation-genome-version-ncbi=35 1
#%netaffx-annotation-genome-version-ucsc=hg17 1
#%netaffx-annotation-netaffx-build=05q4 1
#%netaffx-annotation-docgen-method=create-download-file.pl 1
#%netaffx-annotation-docgen-version=1.42 1
## probeset_id refers to the transcript cluster id, not the exon level probe set, and is required for ExACT software compatibility. 1
"transcript_cluster_id","probeset_id1","seqname1","strand1","start1","stop1","total_probes1","gene_assignment1","mrna_assignment1","swissprot1","unigene1","GO_biological_process1","GO_cellular_component1","GO_molecular_function1","pathway1","protein_domains1"
"2315315","2315315 1","chr1 1","+ 1","608020 1","610139 1","15 1","XM_496332 // LOC440552 // similar to OK/SW-CL.16 // 1p36.33 // 440552 1","XM_496332 // RefSeq // PREDICTED: Homo sapiens similar to OK/SW-CL.16 (LOC440552), mRNA. // chr1 // 100 // 53 // 8 // 8 // 0 /// ENST00000361899 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:MT:8528:9208:1 gene:ENSG00000198899 // chr1 // 100 // 40 // 6 // 6 // 0 /// ENST00000361739 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:MT:7587:8270:1 gene:ENSG00000198712 // chr1 // 100 // 27 // 4 // 4 // 0 /// AF368271 // GenBank // Homo sapiens ATP synthase 6 mRNA, complete cds; mitochondrial gene for mitochondrial product. // chr1 // 100 // 40 // 6 // 6 // 0 /// NC_001807 // GenBank // ATP synthase F0 subunit 6, Mitochondrion [Homo sapiens] // chr1 // 100 // 40 // 6 // 6 // 0 /// AK026530 // GenBank // Homo sapiens cDNA fis, A-KAT03057, highly similar to Homo sapiens mitochondrion, ATP synthase 6. // chr1 // 100 // 40 // 6 // 6 // 0 /// NC_001807 // GenBank // cytochrome c oxidase subunit II, Mitochondrion [Homo sapiens] // chr1 // 100 // 27 // 4 // 4 // 0 /// BC013387 // GenBank // Homo sapiens, Similar to cytochrome c oxidase II, clone IMAGE:4050172, mRNA. // chr1 // 100 // 27 // 4 // 4 // 0 /// CR625031 // GenBank // full-length cDNA clone CS0DL009YD04 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human). // chr1 // 100 // 27 // 4 // 4 // 0 /// Y17171 // GenBank // Homo sapiens mRNA from HIV-associated non-Hodgkin's lymphoma (clone hl2-129). // chr1 // 100 // 27 // 4 // 4 // 0 /// BC013388 // GenBank // Homo sapiens, Similar to cytochrome c oxidase II, clone IMAGE:3681696, mRNA. // chr1 // 100 // 27 // 4 // 4 // 0 /// BC013390 // GenBank // Homo sapiens, Similar to cytochrome c oxidase II, clone IMAGE:4041403, mRNA. // chr1 // 100 // 27 // 4 // 4 // 0 /// BC013391 // GenBank // Homo sapiens, Similar to cytochrome c oxidase II, clone IMAGE:4041785, mRNA. // chr1 // 100 // 27 // 4 // 4 // 0 /// AY211920 // GenBank // Homo sapiens sarcoma antigen NY-SAR-71 mRNA, partial cds. // chr1 // 100 // 27 // 4 // 4 // 0 /// NC_001807 // GenBank // gi|17981852|ref|NC_001807.4|:8296-8365; gene=TRNK; product=tRNA-Lys // chr1 // 100 // 20 // 3 // 3 // 0 /// M37726 // GenBank // Human mitochondrial Lys-tRNA-aaa. // chr1 // 100 // 20 // 3 // 3 // 0 /// AB019563 // GenBank // Homo sapiens mRNA expressed only in placental villi, clone SMAP42. // chr1 // 100 // 13 // 2 // 2 // 0 /// Y17175 // GenBank // Homo sapiens mRNA from HIV-associated non-Hodgkin's lymphoma (clone hl2-274). // chr1 // 100 // 7 // 1 // 1 // 0 1","AF368271 // Q8M7T2 /// AY211920 // Q86WE9 1","--- 1","--- 1","--- 1","--- 1","--- 1","ENST00000361899 // Pfam // IPR000568 // H+-transporting two-sector ATPase, A subunit /// ENST00000361739 // Pfam // IPR002429 // Cytochrome c oxidase, subunit II /// AF368271 // Pfam // IPR000568 // H+-transporting two-sector ATPase, A subunit /// NC_001807 // Pfam // IPR000568 // H+-transporting two-sector ATPase, A subunit /// NC_001807 // Pfam // IPR002429 // Cytochrome c oxidase, subunit II /// AY211920 // Pfam // IPR002429 // Cytochrome c oxidase, subunit II 1"
"2315353","2315353 1","chr1 1","+ 1","754082 1","785303 1","68 1","--- 1","ENSESTT00000076478 // ENSEMBL EST // --- // chr1 // 100 // 16 // 11 // 11 // 0 /// ENSESTT00000076479 // ENSEMBL EST // --- // chr1 // 100 // 12 // 8 // 8 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315380","2315380 1","chr1 1","+ 1","802861 1","834689 1","122 1","XM_211529 // LOC284591 // hypothetical protein LOC284591 // 1p36.33 // 284591 /// XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_211529 // RefSeq // PREDICTED: Homo sapiens hypothetical protein LOC284591 (LOC284591), mRNA. // chr1 // 100 // 30 // 36 // 36 // 0 /// XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 2 // 2 // 2 // 0 /// ENST00000326678 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1:831254:833614:1 gene:ENSG00000177741 // chr1 // 100 // 14 // 17 // 17 // 0 /// AK096570 // GenBank // Homo sapiens cDNA FLJ39251 fis, clone OCBBF2008701. // chr1 // 100 // 14 // 17 // 17 // 0 /// BC086872 // GenBank // Homo sapiens cDNA clone IMAGE:30529307. // chr1 // 94 // 13 // 15 // 16 // 0 /// AK091100 // GenBank // Homo sapiens cDNA FLJ33781 fis, clone BRSSN2007338. // chr1 // 100 // 10 // 12 // 12 // 0 /// CR594200 // GenBank // full-length cDNA clone CS0DF031YH08 of Fetal brain of Homo sapiens (human). // chr1 // 100 // 5 // 6 // 6 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 2 // 2 // 2 // 0 1","AK096570 // Q96BN7 1","XM_211529 // Hs.567331 // other ; mixed ; brain ; stomach ; mammary gland ; placenta ; THYMUS ; muscle ; heart ; liver ; ovary ; lymph node ; eye ; colon ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; tongue ; lung ; testis ; kidney ; Fetal Brain ; Prostate ; uterus ; skin ; pancreas ; prostate ; lymphocyte  1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315412","2315412 1","chr1 1","+ 1","836367 1","836516 1","4 1","XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315416","2315416 1","chr1 1","+ 1","840635 1","840742 1","4 1","XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315420","2315420 1","chr1 1","+ 1","841365 1","841512 1","4 1","XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315426","2315426 1","chr1 1","+ 1","848535 1","849567 1","4 1","XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// ENST00000332708 // ENSEMBL Transcript //  cdna:pseudogene chromosome:NCBI35:3:199334896:199335914:1 gene:ENSG00000183311 // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315428","2315428 1","chr1 1","+ 1","849568 1","849592 1","1 1","XM_371207 // LOC388579 // similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene // 1p36.33 // 388579 1","XM_371207 // RefSeq // PREDICTED: Homo sapiens similar to tubulin, beta 8; HSA10p15 beta-tubulin 4Q (TUBB4Q) gene (LOC388579), mRNA. // chr1 // 100 // 100 // 1 // 1 // 0 /// GENSCAN00000030445 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:832870:849592:1 // chr1 // 100 // 100 // 1 // 1 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","XM_371207 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// XM_371207 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal /// GENSCAN00000030445 // Pfam // IPR003008 // Tubulin/FtsZ, GTPase /// GENSCAN00000030445 // Pfam // IPR008280 // Tubulin/FtsZ, C-terminal 1"
"2315430","2315430 1","chr1 1","+ 1","1036974 1","1044638 1","124 1","XM_497647 // LOC441868 // similar to cSH-PTP2 // 1p36.33 // 441868 1","XM_497647 // RefSeq // PREDICTED: Homo sapiens similar to cSH-PTP2 (LOC441868), mRNA. // chr1 // 100 // 90 // 111 // 111 // 0 /// ENST00000332909 // ENSEMBL Transcript //  cdna:novel chromosome:NCBI35:1:1038380:1044633:1 gene:ENSG00000184235 // chr1 // 100 // 77 // 96 // 96 // 0 /// GENSCAN00000036442 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1038382:1044642:1 // chr1 // 100 // 97 // 120 // 120 // 0 1","--- 1","XM_497647 // Hs.242038 // colon ; other ; brain ; lung ; heart  1","--- 1","--- 1","--- 1","--- 1","XM_497647 // Pfam // IPR000980 // SH2 motif /// XM_497647 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// ENST00000332909 // Pfam // IPR000980 // SH2 motif /// ENST00000332909 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// GENSCAN00000036442 // Pfam // IPR000980 // SH2 motif /// GENSCAN00000036442 // Pfam // IPR000242 // Tyrosine specific protein phosphatase 1"
"2315466","2315466 1","chr1 1","+ 1","1044732 1","1044822 1","4 1","XM_497647 // LOC441868 // similar to cSH-PTP2 // 1p36.33 // 441868 1","XM_497647 // RefSeq // PREDICTED: Homo sapiens similar to cSH-PTP2 (LOC441868), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// ENST00000332909 // ENSEMBL Transcript //  cdna:novel chromosome:NCBI35:1:1038380:1044633:1 gene:ENSG00000184235 // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036442 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1038382:1044642:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","XM_497647 // Hs.242038 // colon ; other ; brain ; lung ; heart  1","--- 1","--- 1","--- 1","--- 1","XM_497647 // Pfam // IPR000980 // SH2 motif /// XM_497647 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// ENST00000332909 // Pfam // IPR000980 // SH2 motif /// ENST00000332909 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// GENSCAN00000036442 // Pfam // IPR000980 // SH2 motif /// GENSCAN00000036442 // Pfam // IPR000242 // Tyrosine specific protein phosphatase 1"
"2315468","2315468 1","chr1 1","+ 1","1045147 1","1045230 1","4 1","XM_497647 // LOC441868 // similar to cSH-PTP2 // 1p36.33 // 441868 1","XM_497647 // RefSeq // PREDICTED: Homo sapiens similar to cSH-PTP2 (LOC441868), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// ENST00000332909 // ENSEMBL Transcript //  cdna:novel chromosome:NCBI35:1:1038380:1044633:1 gene:ENSG00000184235 // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036442 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1038382:1044642:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","XM_497647 // Hs.242038 // colon ; other ; brain ; lung ; heart  1","--- 1","--- 1","--- 1","--- 1","XM_497647 // Pfam // IPR000980 // SH2 motif /// XM_497647 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// ENST00000332909 // Pfam // IPR000980 // SH2 motif /// ENST00000332909 // Pfam // IPR000242 // Tyrosine specific protein phosphatase /// GENSCAN00000036442 // Pfam // IPR000980 // SH2 motif /// GENSCAN00000036442 // Pfam // IPR000242 // Tyrosine specific protein phosphatase 1"
"2315503","2315503 1","chr1 1","+ 1","1101528 1","1101587 1","6 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 6 // 6 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 6 // 6 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315511","2315511 1","chr1 1","+ 1","1103081 1","1103499 1","12 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 67 // 8 // 8 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 67 // 8 // 8 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315519","2315519 1","chr1 1","+ 1","1107805 1","1107922 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315521","2315521 1","chr1 1","+ 1","1112330 1","1119359 1","19 1","XM_378822 // LOC254099 // hypothetical protein LOC254099 // 1p36.33 // 254099 /// AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","XM_378822 // RefSeq // PREDICTED: Homo sapiens hypothetical protein LOC254099 (LOC254099), mRNA. // chr1 // 100 // 84 // 16 // 16 // 0 /// AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 37 // 7 // 7 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 37 // 7 // 7 // 0 1","AK124125 // Q6ZVT0 1","XM_378822 // Hs.385648 // leukocyte  /// AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315530","2315530 1","chr1 1","+ 1","1122076 1","1122229 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315532","2315532 1","chr1 1","+ 1","1123791 1","1123859 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315534","2315534 1","chr1 1","+ 1","1123995 1","1124145 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315543","2315543 1","chr1 1","+ 1","1126384 1","1126550 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315545","2315545 1","chr1 1","+ 1","1126841 1","1126964 1","4 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315547","2315547 1","chr1 1","+ 1","1127703 1","1128727 1","9 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 9 // 9 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 9 // 9 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315551","2315551 1","chr1 1","+ 1","1133482 1","1133865 1","8 1","AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 100 // 8 // 8 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 100 // 8 // 8 // 0 1","AK124125 // Q6ZVT0 1","AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
